Area,Acceso.a.electricidad,Formulario,Analfabetismo.mujeres,Acceso.servicios.de.salud,Departamento,Municipio,Código_lugar,Calidad.de.alimentos,Cantidad.de.alimentos,Animales.traspatio,Alcoholismo,Inseguridad.alimentaria,Arrendamiento,Comida.chatarra,Compra.de.alimentos,Costos.de.producción,Gastos.en.salud,Tamaño.de.las.familias,Disponibilidad.de.agua,Enfermedades.infantiles,Espacio.familiar,Gastos.en.alimentos,Ingresos.agrícolas,Tasa.interés,Deudas,Interés,Venta.de.terrenos,Calidad.de.vida,Porcentaje.tierras.producción.comercial,Tierra.del.hogar,Tenencia.de.tierra,Rendimiento,Producción.comercial,Producción.autoconsumo,Programas.sociales,Asistencia.financiera,Ingresos.de.salario,Ingresos,Dependencia.económica.en.el.hombre,Demanda.empleos,Demanda.empleos.no.calificados,Demanda.empleos.calificados,Porcen.demanda.empleos.calificados,MUniDept,MuniDept,Tierra.a.producción.económica,Tierra.a.producción.autoconsumo,Educación,Lugares.para.excretos,Tiendas.y.comercios.mujeres,Auto.estima,Asistencia.escolar,Atraso.escolar,Educación.sexual,Espacamiento.de.los.embarazos,Lactancia,Optimismo.para.la.vida,Planificación.familiar,Repetición.escolar,Empleos,Empleos.calificados,Empleos.no.calificados,Trabajos.mujeres,Trabajo.infantil,Cuidados.niños,Desempleo,Marginación,Participación.social.mujeres,Cuidados.especiales,Salario.empleos.no.calificados,Salario.empleos.calificados,Precios.alimentos,Precios.agrícolas,Riqueza.familiar,Gastos.no.priorizados,Gastos,Inversiones.agrícolas,Costos.insumos,Fracción.tierras.a.hortalizas,Producción.milpa,Costumbre.de.consumo,Uso.de.orgánico
1,1,13111,1,NA,1,5,0105,1.303459677,16667.48,0,0,3,0,0,53403.2512,NA,0,3,0,2,2.333333333,447.4166667,0,0,0,0,NA,-1,NA,0,0,NA,0,0,0,0,1975,1975,1,0,0,0,NA,NA,105,NA,NA,9.5,1,0,0,1.5,NA,1,15,24,1,1,1,0,0,0,0,0,0,NA,0,NA,0,0,0,0.036564758,NA,12050,100,547.4166667,0,0,NA,0,0,0
1,1,13116,1,NA,1,5,0105,2.11324168,16837.26,0,0,4,0,0.020193309,101533.9846,NA,0,7,0,NA,1.142857143,699.9090909,0,0,0,0,NA,-1,NA,0,0,NA,0,0,0,0,2200,2200,0,0,0,0,NA,NA,105,NA,NA,8.25,1,0,0,2,-0.25,1,7.75,NA,1,1,1,0,0,0,0,0,NA,NA,1,0.428571429,0,0,0,4.681024163,NA,4510,40,739.9090909,0,0,NA,0,0,0
1,1,13124,1,NA,1,5,0105,3.035734406,5875.03,0,0,1,0,0,24459.7286,NA,0,3,0,NA,2.666666667,285,0,0,0,0,NA,-1,NA,0,0,NA,0,0,0,0,10000,10000,0,0,0,0,NA,NA,105,NA,NA,12.66666667,1,0,0,1.333333333,NA,1,NA,NA,1,0.5,1,0,0,0,0,NA,NA,NA,0,NA,0,0,0,2.853894861,NA,30200,0,285,0,0,NA,0,0,0
1,1,13109,1,NA,1,5,0105,2.671218842,9910.6,0,0,2,0,0.000908119,50354.039,NA,0,4,0,NA,2,527,0,0,0,0,NA,-1,NA,0,0,NA,0,0,0,0,12500,12500,1,0,0,0,NA,NA,105,NA,NA,15.5,1,0,0,1.5,NA,1,19,NA,1,0.5,1,0,0,0,0,NA,NA,NA,0.25,0,0,0,0,0.043641864,NA,26490,800,1327,0,0,NA,0,0,0
1,1,16103,1,NA,1,5,0105,2.009385032,32147.33,0,0,2,0,0.025196494,96193.289,NA,0,9,0,2,1,747.5,0,0,0,0,NA,1,NA,0,0,NA,0,0,2,0,10500,10500,0.566666667,84,84,0,0,NA,105,NA,NA,6.5,1,3050,0,2,-0.6,1,5.166666667,36,1,0.25,1,364,0,84,84,2.8,1,NA,1,0.5,0,0,0,2.000688927,NA,24550,400,1147.5,0,0,NA,0,0,0
1,1,13125,1,NA,1,5,0105,2.548493776,19951.41,0,80,2,0,0.000100244,100045.4724,NA,0,3,0,NA,2.666666667,425.5,0,0,0,0,NA,0,NA,0,0,NA,0,0,0,0,4700,4700,1,0,0,0,NA,NA,105,NA,NA,11.66666667,1,0,0,2,NA,NA,NA,NA,1,NA,NA,0,0,0,0,NA,NA,NA,0.333333333,0,0,0,0,5.194303575,NA,7100,166.6666667,592.1666667,0,0,NA,0,0,0
1,1,16110,1,NA,1,5,0105,2.444171066,7192.69,0,0,1,0,0.00027806,39503.2895,51,0,2,0,NA,4.5,221,NA,0,0,0,NA,0,0.96,2,1,12.5,24,1,0,0,0,NA,NA,0,0,0,NA,NA,105,1.92,0.08,9,1,0,NA,2,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,0,NA,0,0,0,2.634799564,156.25,91600,100,372,NA,1,Inf,0,0.04,0
1,1,16107,1,NA,1,5,0105,2.168698132,23999.6,0,0,2,0,0,107438.86,NA,0,4,0,NA,2.5,821,0,0,0,0,NA,-1,NA,0,0,NA,0,0,0,0,2000,2000,1,0,0,0,NA,NA,105,NA,NA,7.5,1,0,NA,2,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,0,NA,0,0,0,0.033911488,NA,13370,100,921,0,0,NA,0,0,0
1,1,14398,1,NA,1,5,0105,2.741055409,8149.58,0,0,2,0,0,60463.0758,NA,0,2,0,NA,3.5,433.25,0,0,0,0,NA,-1,NA,0,0,NA,0,0,0,0,800,800,1,10,0,10,100,NA,105,NA,NA,6,1,0,NA,2,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,10,0,NA,0,0,0,0.0360404,NA,6700,0,433.25,0,0,NA,0,0,0
1,1,14397,1,NA,1,5,0105,1.590742095,7792.93,0,0,2,0,0.000256643,43947.3704,NA,36,4,0,1,1.75,451,0,0,0,0,NA,0,NA,0,0,NA,0,0,2,0,5360,5360,0.410447761,63,0,63,100,NA,105,NA,NA,7.5,1,3160,0,2,-1,1,10,6,1,1,1,273,63,0,0,0,1,NA,0,NA,1,Inf,34.92063492,0.054453065,NA,800,100,587,0,0,NA,0,0,0
