Departamento,Municipio,Código_lugar,Año,Tamaño_muestra,Desntr_crón_inft
QUICHE,SAN JUAN COTZAL,1411,1986,242,75.6
QUICHE,SAN PEDRO JOCOPILAS,1409,1986,316,69
QUICHE,SANTA CRUZ DEL QUICHÉ,1401,1986,1127,66.8
QUICHE,USPANTÁN,1415,1986,502,60.4
QUICHE,ZACUALPA,1404,1986,383,64.5
RETALHULEU,CHAMPERICO,1107,1986,750,37.7
RETALHULEU,EL ASINTAL,1109,1986,513,56.1
RETALHULEU,NUEVO SAN CARLOS,1108,1986,754,58.1
RETALHULEU,RETALHULEU,1101,1986,1853,43.5
RETALHULEU,SAN ANDRÉS VILLA SECA,1106,1986,1016,39
RETALHULEU,SAN FELIPE RETALHULEU,1105,1986,498,60.6
RETALHULEU,SAN MARTÍN ZAPOTITLÁN,1104,1986,190,51.1
RETALHULEU,SAN SEBASTIÁN,1102,1986,544,54.4
RETALHULEU,SANTA CRUZ MULUÁ,1103,1986,273,57.1
SACATEPEQUEZ,ALOTENANGO,0314,1986,260,67.3
SACATEPEQUEZ,ANTIGUA GUATEMALA,0301,1986,714,43.6
SACATEPEQUEZ,CIUDAD VIEJA,0312,1986,406,50
SACATEPEQUEZ,JOCOTENANGO,0302,1986,266,34.2
SACATEPEQUEZ,MAGDALENA MILPAS ALTAS,0310,1986,168,70.8
SACATEPEQUEZ,PASTORES,0303,1986,258,63.2
SACATEPEQUEZ,SAN ANTONIO AGUAS CALIENTES,0315,1986,196,59.2
SACATEPEQUEZ,SAN BARTOLOMÉ MILPAS ALTAS,0307,1986,78,41
SACATEPEQUEZ,SAN LUCAS SACATEPÉQUEZ,0308,1986,297,38.7
SACATEPEQUEZ,SAN MIGUEL DUEÑAS,0313,1986,188,50
SACATEPEQUEZ,SANTA CATARINA BARAHONA,0316,1986,52,65.4
SACATEPEQUEZ,SANTA LUCÍA MILPAS ALTAS,0309,1986,141,48.2
SACATEPEQUEZ,SANTA MARÍA DE JESÚS,0311,1986,297,79.1
SACATEPEQUEZ,SANTIAGO SACATEPÞQUEZ,0306,1986,308,67.5
SACATEPEQUEZ,SANTO DOMINGO XENACOJ,0305,1986,116,46.6
SACATEPEQUEZ,SUMPANGO,0304,1986,483,65
SAN MARCOS,AYUTLA,1217,1986,612,40.7
SAN MARCOS,CATARINA,1216,1986,747,51.8
SAN MARCOS,COMITANCILLO,1204,1986,488,75.6
SAN MARCOS,CONCEPCIÓN TUTUAPA,1206,1986,242,71.1
SAN MARCOS,EL QUETZAL,1220,1986,589,70.8
SAN MARCOS,EL RODEO,1214,1986,436,54.4
SAN MARCOS,EL TUMBADOR,1213,1986,1390,64.9
SAN MARCOS,ESQUIPULAS PALO GORDO,1227,1986,251,60.2
SAN MARCOS,IXCHIGUÁN,1223,1986,401,68.6
SAN MARCOS,LA BLANCA,1230,1986,,
SAN MARCOS,LA REFORMA,1221,1986,586,62.5
SAN MARCOS,MALACATÁN,1215,1986,1788,62.8
SAN MARCOS,NUEVO PROGRESO,1212,1986,959,63.7
SAN MARCOS,OCÓS,1218,1986,784,39
SAN MARCOS,PAJAPITA,1222,1986,509,48.5
SAN MARCOS,RÍO BLANCO,1228,1986,222,65.3
SAN MARCOS,SAN ANTONIO SACATEPÉQUEZ,1203,1986,451,56.8
SAN MARCOS,SAN CRISTOBAL CUCHO,1225,1986,363,63.6
SAN MARCOS,SAN JOSÉ OJETENAM,1224,1986,270,63
SAN MARCOS,SAN LORENZO,1229,1986,205,56.1
SAN MARCOS,SAN MARCOS,1201,1986,1024,53.2
SAN MARCOS,SAN MIGUEL IXTAHUACAN,1205,1986,369,65.9
SAN MARCOS,SAN PABLO,1219,1986,737,68.1
SAN MARCOS,SAN PEDRO SACATEPÉQUEZ,1202,1986,1808,64.3
SAN MARCOS,SAN RAFAEL PIE DE LA CUESTA,1211,1986,468,67.1
SAN MARCOS,SIBINAL,1208,1986,302,79.8
SAN MARCOS,SIPACAPA,1226,1986,203,56.7
SAN MARCOS,TACANÁ,1207,1986,1314,63.4
SAN MARCOS,TAJUMULCO,1209,1986,555,73.7
SAN MARCOS,TEJUTLA,1210,1986,802,56
SANTA ROSA,BARBERENA,0602,1986,855,49.6
SANTA ROSA,CASILLAS,0604,1986,390,35.1
SANTA ROSA,CHIQUIMULILLA,0608,1986,1465,30.5
SANTA ROSA,CUILAPA,0601,1986,651,41.3
SANTA ROSA,GUAZACAPÁN,0611,1986,305,42.6
SANTA ROSA,NUEVA SANTA ROSA,0614,1986,789,47.2
SANTA ROSA,ORATORIO,0606,1986,549,37.7
SANTA ROSA,PUEBLO NUEVO VIÑAS,0613,1986,544,44.5
